category,fname,prestime,Action_correct,Action_none,Action_wrong,Context_correct,Context_none,Context_wrong,Object_correct,Object_none,Object_wrong,Sensory_correct,Sensory_none,Sensory_wrong,KeyAction,KeyObject,KeyContext
communication,communication_writing_board2.png,100.0,3,0,2,2,3,0,3,2,0,3,2,0,2,3,0
cleaning,cleaning_cleaning_toilet.png,100.0,3,1,1,2,2,1,2,1,2,1,4,0,2,2,0
hobby,hobby_playing_golf2.png,100.0,5,0,0,4,1,0,4,1,0,2,3,0,4,4,3
cleaning,cleaning_blowdrying.png,100.0,4,0,1,4,1,0,2,2,1,3,2,0,3,2,2
food,food_peeling.png,100.0,1,1,3,2,2,1,1,2,2,2,3,0,0,0,1
hobby,hobby_playing_billards.png,100.0,5,0,0,4,1,0,4,1,0,1,4,0,2,3,2
food,food_toasting.png,100.0,4,0,1,4,0,1,1,1,3,3,2,0,0,0,3
locomotion,locomotion_surfing.png,100.0,1,1,3,2,0,3,0,5,0,0,5,0,1,0,2
locomotion,locomotion_skydiving.png,100.0,4,0,1,4,1,0,2,2,1,0,5,0,1,2,2
cleaning,cleaning_washing_car.png,100.0,2,1,2,3,2,0,3,1,1,0,5,0,0,1,0
food,food_drinking_glas.png,100.0,3,1,1,3,2,0,3,2,0,5,0,0,2,1,1
cleaning,cleaning_hoovering.png,100.0,3,0,2,5,0,0,3,0,2,4,1,0,3,1,2
hobby,hobby_kicking_football.png,100.0,5,0,0,3,2,0,5,0,0,4,1,0,4,2,0
food,food_eating_chopsticks.png,100.0,5,0,0,5,0,0,5,0,0,2,3,0,4,4,3
communication,communication_thumbsUp.png,100.0,5,0,0,0,5,0,2,2,1,0,4,1,5,1,0
communication,communication_crawling.png,100.0,4,0,1,4,1,0,4,1,0,4,1,0,4,2,0
locomotion,locomotion_rollerskating.png,100.0,2,0,3,4,1,0,1,4,0,1,4,0,2,1,1
hobby,hobby_playing_basketball.png,100.0,5,0,0,5,0,0,5,0,0,1,4,0,3,3,2
food,food_mixing.png,100.0,3,0,2,5,0,0,1,0,4,1,4,0,0,1,4
cleaning,cleaning_making_bed.png,100.0,2,2,1,0,4,1,0,4,1,1,4,0,0,0,0
cleaning,cleaning_doingLaundry.png,100.0,5,0,0,5,0,0,5,0,0,0,5,0,4,5,1
locomotion,locomotion_skijetting.png,100.0,5,0,0,4,1,0,5,0,0,2,3,0,4,4,1
food,food_baking.png,100.0,5,0,0,3,2,0,5,0,0,2,3,0,4,3,0
communication,communication_punching.png,100.0,3,0,2,1,4,0,2,2,1,2,3,0,0,0,0
locomotion,locomotion_kayaking.png,100.0,5,0,0,5,0,0,4,0,1,0,5,0,3,4,1
cleaning,cleaning_showering.png,100.0,4,1,0,4,1,0,2,2,1,3,2,0,1,2,2
hobby,hobby_playing_baseball.png,100.0,5,0,0,5,0,0,5,0,0,3,2,0,2,5,1
food,food_eating_spoon.png,100.0,5,0,0,5,0,0,5,0,0,1,4,0,4,5,0
communication,communication_typing.png,100.0,5,0,0,5,0,0,5,0,0,2,3,0,1,5,0
hobby,hobby_flying_kite.png,100.0,1,4,0,4,0,1,0,3,2,0,5,0,0,0,4
communication,communication_reading.png,100.0,5,0,0,4,1,0,4,1,0,0,5,0,1,3,3
cleaning,cleaning_cleaning_floor.png,100.0,1,2,2,4,0,1,0,4,1,1,4,0,1,0,0
locomotion,locomotion_running.png,100.0,4,0,1,5,0,0,2,3,0,1,4,0,2,0,3
food,food_grilling1.png,100.0,3,2,0,0,1,4,1,4,0,0,5,0,1,0,0
food,food_smelling.png,100.0,4,0,1,3,0,2,1,3,1,3,1,1,1,0,3
food,food_cutting_zucchini.png,100.0,5,0,0,5,0,0,5,0,0,3,2,0,3,1,4
communication,communication_highfiving.png,100.0,4,0,1,5,0,0,3,1,1,2,3,0,2,1,2
communication,communication_talking.png,100.0,5,0,0,5,0,0,5,0,0,5,0,0,1,2,0
cleaning,cleaning_combing_hair.png,100.0,3,0,2,5,0,0,2,3,0,2,3,0,3,2,2
communication,communication_arguing.png,100.0,4,0,1,4,1,0,4,1,0,3,2,0,2,1,1
hobby,hobby_juggling.png,100.0,5,0,0,3,2,0,5,0,0,3,2,0,4,4,1
cleaning,cleaning_shaving.png,100.0,4,0,1,4,1,0,4,1,0,2,3,0,2,2,1
communication,communication_handshaking.png,100.0,5,0,0,2,1,2,4,1,0,2,3,0,5,3,0
hobby,hobby_dancing.png,100.0,4,1,0,5,0,0,4,1,0,4,1,0,2,0,5
hobby,hobby_eating_hand1.png,100.0,2,2,1,4,1,0,5,0,0,1,4,0,2,0,2
locomotion,locomotion_riding_horse.png,100.0,4,1,0,5,0,0,5,0,0,1,3,1,2,5,4
locomotion,locomotion_climbing.png,100.0,5,0,0,5,0,0,3,2,0,1,4,0,5,1,4
food,food_whisking.png,100.0,4,0,1,3,2,0,4,0,1,3,2,0,2,2,2
locomotion,locomotion_diving.png,100.0,0,5,0,1,4,0,2,3,0,3,2,0,0,1,1
locomotion,locomotion_swimming1.png,100.0,3,1,1,2,1,2,4,0,1,2,3,0,3,4,1
cleaning,cleaning_brushingTeeth.png,100.0,3,1,1,2,1,2,2,2,1,3,2,0,2,1,0
locomotion,locomotion_skiing.png,100.0,5,0,0,4,1,0,4,1,0,3,2,0,5,4,2
cleaning,cleaning_cleaning_window2.png,100.0,5,0,0,4,1,0,5,0,0,2,3,0,5,2,0
locomotion,locomotion_skateboarding1.png,100.0,4,1,0,4,1,0,5,0,0,0,3,2,3,5,2
food,food_grocery_shopping.png,100.0,2,3,0,4,1,0,2,2,1,2,3,0,2,1,3
communication,communication_knocking_door.png,100.0,5,0,0,3,0,2,2,0,3,1,4,0,0,2,2
hobby,hobby_fishing.png,100.0,2,3,0,5,0,0,5,0,0,1,4,0,0,3,4
hobby,hobby_riding_carriage.png,100.0,2,3,0,2,3,0,5,0,0,0,4,1,0,5,1
communication,communication_phoning.png,100.0,5,0,0,5,0,0,5,0,0,4,1,0,5,4,2
cleaning,cleaning_applyingCream.png,100.0,3,0,2,3,1,1,0,4,1,1,4,0,0,0,0
food,food_eating_fork.png,100.0,3,1,1,4,1,0,4,1,0,1,4,0,2,4,2
hobby,hobby_playing_tennis.png,100.0,1,0,4,4,1,0,2,1,2,2,2,1,0,0,1
cleaning,cleaning_washing_face.png,100.0,4,0,1,2,3,0,3,2,0,1,4,0,2,1,2
communication,communication_waving.png,100.0,3,1,1,5,0,0,0,5,0,1,4,0,1,0,1
locomotion,locomotion_hiking1.png,100.0,5,0,0,4,1,0,5,0,0,2,3,0,4,5,3
food,food_seasoning.png,100.0,3,0,2,4,1,0,2,1,2,1,4,0,0,1,2
locomotion,locomotion_riding_bicycle.png,100.0,3,2,0,5,0,0,5,0,0,1,4,0,2,4,3
communication,communication_texting.png,100.0,5,0,0,3,2,0,2,0,3,2,3,0,0,1,0
hobby,hobby_fencing.png,100.0,5,0,0,3,2,0,4,1,0,3,2,0,4,2,1
hobby,hobby_collecting_mushrooms.png,100.0,4,1,0,5,0,0,4,1,0,1,4,0,1,1,5
communication,communication_writing_board2.png,33.3,3,1,1,1,3,1,0,3,2,1,3,1,1,0,0
cleaning,cleaning_cleaning_toilet.png,33.3,0,5,0,0,4,1,0,4,1,2,2,1,0,0,0
hobby,hobby_playing_golf2.png,33.3,0,5,0,1,3,1,0,5,0,1,4,0,0,0,0
cleaning,cleaning_blowdrying.png,33.3,1,3,1,1,4,0,0,4,1,3,2,0,0,0,0
food,food_peeling.png,33.3,0,2,3,1,2,2,0,3,2,1,4,0,0,0,0
hobby,hobby_playing_billards.png,33.3,2,3,0,1,4,0,4,1,0,1,3,1,1,4,0
food,food_toasting.png,33.3,0,4,1,1,2,2,0,4,1,0,5,0,0,0,0
locomotion,locomotion_surfing.png,33.3,0,5,0,0,5,0,0,5,0,3,2,0,0,0,0
locomotion,locomotion_skydiving.png,33.3,2,3,0,1,3,1,0,5,0,2,3,0,0,0,0
cleaning,cleaning_washing_car.png,33.3,1,4,0,1,4,0,4,0,1,0,4,1,0,1,0
food,food_drinking_glas.png,33.3,0,4,1,1,4,0,0,4,1,1,4,0,0,0,0
cleaning,cleaning_hoovering.png,33.3,1,2,2,0,3,2,0,3,2,3,2,0,0,0,0
hobby,hobby_kicking_football.png,33.3,5,0,0,1,4,0,1,4,0,2,3,0,1,0,0
food,food_eating_chopsticks.png,33.3,4,1,0,1,4,0,0,2,3,1,3,1,2,0,0
communication,communication_thumbsUp.png,33.3,5,0,0,0,4,1,2,1,2,1,4,0,5,1,0
communication,communication_crawling.png,33.3,4,1,0,2,3,0,2,2,1,2,3,0,4,2,0
locomotion,locomotion_rollerskating.png,33.3,0,4,1,1,4,0,0,3,2,0,5,0,0,0,0
hobby,hobby_playing_basketball.png,33.3,2,1,2,0,3,2,1,2,2,1,4,0,0,1,0
food,food_mixing.png,33.3,2,1,2,2,1,2,1,2,2,1,4,0,0,0,1
cleaning,cleaning_making_bed.png,33.3,3,1,1,0,4,1,0,4,1,0,5,0,0,0,0
cleaning,cleaning_doingLaundry.png,33.3,0,4,1,0,5,0,0,5,0,1,4,0,0,0,0
locomotion,locomotion_skijetting.png,33.3,0,5,0,0,4,1,0,5,0,0,5,0,0,0,0
food,food_baking.png,33.3,0,2,3,0,4,1,0,2,3,0,4,1,0,0,0
communication,communication_punching.png,33.3,1,1,3,0,4,1,1,3,1,1,4,0,0,0,0
locomotion,locomotion_kayaking.png,33.3,0,5,0,0,4,1,0,4,1,2,3,0,0,0,0
cleaning,cleaning_showering.png,33.3,1,4,0,0,5,0,0,4,1,3,1,1,0,0,0
hobby,hobby_playing_baseball.png,33.3,1,4,0,0,5,0,0,5,0,3,2,0,1,0,0
food,food_eating_spoon.png,33.3,4,0,1,3,1,1,3,2,0,2,2,1,2,3,0
communication,communication_typing.png,33.3,2,3,0,0,5,0,2,1,2,1,4,0,0,2,0
hobby,hobby_flying_kite.png,33.3,0,5,0,3,2,0,0,5,0,0,4,1,0,0,2
communication,communication_reading.png,33.3,2,2,1,0,5,0,0,3,2,0,5,0,0,0,0
cleaning,cleaning_cleaning_floor.png,33.3,3,1,1,0,3,2,0,2,3,3,2,0,0,0,0
locomotion,locomotion_running.png,33.3,2,2,1,4,1,0,1,4,0,2,3,0,1,0,3
food,food_grilling1.png,33.3,0,3,2,0,5,0,0,3,2,0,5,0,0,0,0
food,food_smelling.png,33.3,0,4,1,1,4,0,0,5,0,0,5,0,0,0,0
food,food_cutting_zucchini.png,33.3,1,2,2,0,4,1,1,4,0,1,3,1,1,0,0
communication,communication_highfiving.png,33.3,0,5,0,2,3,0,1,4,0,0,5,0,0,0,2
communication,communication_talking.png,33.3,2,3,0,3,2,0,2,3,0,1,4,0,0,1,0
cleaning,cleaning_combing_hair.png,33.3,1,3,1,1,4,0,0,5,0,2,3,0,1,0,0
communication,communication_arguing.png,33.3,1,1,3,1,4,0,1,2,2,1,4,0,0,0,0
hobby,hobby_juggling.png,33.3,3,1,1,4,1,0,0,3,2,1,4,0,0,0,0
cleaning,cleaning_shaving.png,33.3,0,4,1,0,4,1,0,3,2,2,3,0,0,0,0
communication,communication_handshaking.png,33.3,5,0,0,0,5,0,1,3,1,1,4,0,5,0,0
hobby,hobby_dancing.png,33.3,0,4,1,0,4,1,0,4,1,0,5,0,0,0,0
hobby,hobby_eating_hand1.png,33.3,2,2,1,1,4,0,0,3,2,0,5,0,0,0,0
locomotion,locomotion_riding_horse.png,33.3,0,4,1,2,2,1,4,0,1,2,3,0,0,4,1
locomotion,locomotion_climbing.png,33.3,1,4,0,1,3,1,1,3,1,3,2,0,1,1,1
food,food_whisking.png,33.3,1,4,0,1,3,1,1,2,2,2,3,0,0,0,0
locomotion,locomotion_diving.png,33.3,0,5,0,0,5,0,0,5,0,3,1,1,0,0,0
locomotion,locomotion_swimming1.png,33.3,0,5,0,0,5,0,0,4,1,2,3,0,0,0,0
cleaning,cleaning_brushingTeeth.png,33.3,0,3,2,0,5,0,0,3,2,1,4,0,0,0,0
locomotion,locomotion_skiing.png,33.3,5,0,0,2,3,0,4,1,0,1,4,0,5,4,2
cleaning,cleaning_cleaning_window2.png,33.3,0,3,2,0,4,1,3,1,1,1,4,0,0,0,0
locomotion,locomotion_skateboarding1.png,33.3,1,0,4,1,2,2,2,1,2,0,5,0,1,1,0
food,food_grocery_shopping.png,33.3,1,4,0,0,4,1,0,5,0,3,2,0,0,0,0
communication,communication_knocking_door.png,33.3,2,3,0,0,2,3,0,3,2,1,3,1,0,0,0
hobby,hobby_fishing.png,33.3,1,2,2,3,2,0,0,5,0,0,5,0,0,0,1
hobby,hobby_riding_carriage.png,33.3,0,5,0,0,5,0,1,2,2,1,3,1,0,0,0
communication,communication_phoning.png,33.3,4,1,0,1,4,0,3,2,0,1,3,1,1,1,0
cleaning,cleaning_applyingCream.png,33.3,0,2,3,0,5,0,0,5,0,1,4,0,0,0,0
food,food_eating_fork.png,33.3,1,4,0,2,2,1,1,4,0,1,4,0,0,0,1
hobby,hobby_playing_tennis.png,33.3,2,2,1,0,4,1,1,4,0,1,3,1,0,1,0
cleaning,cleaning_washing_face.png,33.3,0,5,0,0,5,0,0,4,1,0,5,0,0,0,0
communication,communication_waving.png,33.3,0,4,1,1,3,1,0,2,3,2,3,0,0,0,0
locomotion,locomotion_hiking1.png,33.3,2,2,1,1,4,0,3,2,0,1,4,0,1,1,1
food,food_seasoning.png,33.3,0,4,1,1,3,1,1,4,0,2,3,0,0,0,0
locomotion,locomotion_riding_bicycle.png,33.3,1,4,0,3,1,1,3,1,1,1,4,0,1,3,0
communication,communication_texting.png,33.3,3,2,0,3,2,0,4,1,0,1,4,0,0,0,0
hobby,hobby_fencing.png,33.3,1,4,0,1,4,0,0,4,1,1,4,0,0,0,0
hobby,hobby_collecting_mushrooms.png,33.3,0,5,0,0,4,1,0,5,0,2,3,0,0,0,0
communication,communication_writing_board2.png,83.3,4,0,1,2,3,0,3,2,0,3,2,0,2,3,0
cleaning,cleaning_cleaning_toilet.png,83.3,0,2,3,0,3,2,0,3,2,4,1,0,0,0,0
hobby,hobby_playing_golf2.png,83.3,4,0,1,5,0,0,4,1,0,4,1,0,3,4,0
cleaning,cleaning_blowdrying.png,83.3,2,0,3,2,3,0,1,2,2,2,3,0,2,0,2
food,food_peeling.png,83.3,2,0,3,1,0,4,0,3,2,0,5,0,0,0,1
hobby,hobby_playing_billards.png,83.3,3,2,0,2,3,0,4,1,0,1,4,0,1,4,1
food,food_toasting.png,83.3,2,1,2,4,1,0,0,0,5,1,4,0,0,0,3
locomotion,locomotion_surfing.png,83.3,0,4,1,2,2,1,0,5,0,1,4,0,0,0,1
locomotion,locomotion_skydiving.png,83.3,4,0,1,4,1,0,4,1,0,1,4,0,2,1,2
cleaning,cleaning_washing_car.png,83.3,4,1,0,3,2,0,5,0,0,0,5,0,1,3,0
food,food_drinking_glas.png,83.3,2,0,3,1,3,1,1,4,0,1,4,0,1,0,0
cleaning,cleaning_hoovering.png,83.3,3,0,2,2,1,2,3,0,2,4,1,0,2,2,2
hobby,hobby_kicking_football.png,83.3,5,0,0,3,2,0,3,2,0,4,1,0,3,1,2
food,food_eating_chopsticks.png,83.3,5,0,0,3,2,0,4,0,1,1,2,2,5,3,0
communication,communication_thumbsUp.png,83.3,5,0,0,2,3,0,4,1,0,1,3,1,5,2,0
communication,communication_crawling.png,83.3,5,0,0,1,3,1,1,3,1,2,3,0,4,1,0
locomotion,locomotion_rollerskating.png,83.3,0,1,4,4,1,0,0,5,0,0,5,0,0,0,0
hobby,hobby_playing_basketball.png,83.3,4,1,0,3,0,2,2,2,1,1,4,0,1,2,1
food,food_mixing.png,83.3,2,1,2,3,1,1,0,3,2,1,4,0,0,0,1
cleaning,cleaning_making_bed.png,83.3,4,1,0,0,4,1,2,3,0,2,2,1,0,1,0
cleaning,cleaning_doingLaundry.png,83.3,5,0,0,4,1,0,4,1,0,2,3,0,4,4,0
locomotion,locomotion_skijetting.png,83.3,4,1,0,4,0,1,2,0,3,1,4,0,2,2,2
food,food_baking.png,83.3,3,1,1,1,3,1,2,1,2,0,5,0,0,0,0
communication,communication_punching.png,83.3,5,0,0,0,5,0,2,2,1,1,4,0,2,2,0
locomotion,locomotion_kayaking.png,83.3,3,2,0,5,0,0,4,1,0,0,5,0,0,4,2
cleaning,cleaning_showering.png,83.3,1,4,0,0,3,2,2,2,1,2,3,0,1,0,0
hobby,hobby_playing_baseball.png,83.3,2,3,0,0,5,0,5,0,0,3,2,0,1,4,0
food,food_eating_spoon.png,83.3,4,0,1,4,1,0,4,0,1,4,1,0,4,3,1
communication,communication_typing.png,83.3,4,1,0,4,1,0,4,0,1,1,4,0,2,4,0
hobby,hobby_flying_kite.png,83.3,0,5,0,5,0,0,1,2,2,0,5,0,0,0,2
communication,communication_reading.png,83.3,3,0,2,4,0,1,1,2,2,0,5,0,1,0,1
cleaning,cleaning_cleaning_floor.png,83.3,3,1,1,3,1,1,1,3,1,3,2,0,3,0,0
locomotion,locomotion_running.png,83.3,4,1,0,5,0,0,1,4,0,1,4,0,3,0,5
food,food_grilling1.png,83.3,3,1,1,1,3,1,2,0,3,1,2,2,0,1,0
food,food_smelling.png,83.3,1,1,3,2,2,1,1,3,1,3,2,0,0,0,0
food,food_cutting_zucchini.png,83.3,4,0,1,3,2,0,3,1,1,1,4,0,3,2,2
communication,communication_highfiving.png,83.3,5,0,0,5,0,0,3,2,0,4,1,0,3,2,1
communication,communication_talking.png,83.3,5,0,0,4,0,1,5,0,0,4,1,0,1,3,0
cleaning,cleaning_combing_hair.png,83.3,5,0,0,4,1,0,3,2,0,2,3,0,5,2,1
communication,communication_arguing.png,83.3,3,1,1,5,0,0,3,2,0,3,2,0,2,1,0
hobby,hobby_juggling.png,83.3,2,2,1,4,1,0,3,1,1,4,1,0,0,1,0
cleaning,cleaning_shaving.png,83.3,4,0,1,4,1,0,3,1,1,2,3,0,2,1,1
communication,communication_handshaking.png,83.3,5,0,0,2,3,0,4,0,1,0,5,0,5,2,1
hobby,hobby_dancing.png,83.3,5,0,0,4,0,1,4,1,0,3,2,0,4,2,4
hobby,hobby_eating_hand1.png,83.3,4,0,1,3,2,0,3,0,2,1,4,0,2,0,2
locomotion,locomotion_riding_horse.png,83.3,4,1,0,4,1,0,5,0,0,2,3,0,0,5,1
locomotion,locomotion_climbing.png,83.3,5,0,0,5,0,0,1,3,1,2,3,0,5,1,4
food,food_whisking.png,83.3,4,0,1,4,1,0,3,1,1,3,2,0,4,3,3
locomotion,locomotion_diving.png,83.3,0,3,2,0,5,0,0,5,0,2,2,1,0,0,0
locomotion,locomotion_swimming1.png,83.3,4,1,0,4,1,0,5,0,0,3,2,0,3,4,3
cleaning,cleaning_brushingTeeth.png,83.3,3,0,2,2,1,2,2,2,1,1,4,0,1,1,1
locomotion,locomotion_skiing.png,83.3,4,1,0,4,1,0,5,0,0,3,2,0,4,5,1
cleaning,cleaning_cleaning_window2.png,83.3,3,0,2,0,2,3,1,1,3,2,3,0,1,1,0
locomotion,locomotion_skateboarding1.png,83.3,4,0,1,4,1,0,4,1,0,0,5,0,3,3,0
food,food_grocery_shopping.png,83.3,3,2,0,1,4,0,2,2,1,1,4,0,2,2,0
communication,communication_knocking_door.png,83.3,3,0,2,3,0,2,4,1,0,1,4,0,0,1,0
hobby,hobby_fishing.png,83.3,4,1,0,4,1,0,5,0,0,0,5,0,3,2,4
hobby,hobby_riding_carriage.png,83.3,0,4,1,3,2,0,5,0,0,2,3,0,0,5,2
communication,communication_phoning.png,83.3,3,0,2,4,1,0,5,0,0,5,0,0,2,2,1
cleaning,cleaning_applyingCream.png,83.3,0,1,4,0,4,1,0,4,1,3,1,1,0,0,0
food,food_eating_fork.png,83.3,5,0,0,4,1,0,4,1,0,2,3,0,4,4,2
hobby,hobby_playing_tennis.png,83.3,3,1,1,4,1,0,3,1,1,3,2,0,2,2,3
cleaning,cleaning_washing_face.png,83.3,3,0,2,3,2,0,4,0,1,5,0,0,2,3,3
communication,communication_waving.png,83.3,4,0,1,4,0,1,2,0,3,1,4,0,1,0,2
locomotion,locomotion_hiking1.png,83.3,5,0,0,5,0,0,4,1,0,1,4,0,4,4,5
food,food_seasoning.png,83.3,1,1,3,5,0,0,0,1,4,1,4,0,0,0,4
locomotion,locomotion_riding_bicycle.png,83.3,3,2,0,5,0,0,3,2,0,0,5,0,3,2,2
communication,communication_texting.png,83.3,4,1,0,5,0,0,3,1,1,3,2,0,0,2,2
